study_word,t_word,reference,old_new,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
piano,,,,0,0,0,4,,,,,0.06003230018541217,,0.01702240016311407,0.06003230018541217,0.06003230018541217,8.059882200090215,21.395443000132218,1,21.355315300170332,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
drums,,,,0,1,1,6,,,,,21.423989300150424,,21.39587300014682,21.423989300150424,21.423989300150424,,22.112066100118682,1,0.6938309001270682,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
book,,,,0,2,2,2,,,,,22.140725100180134,,22.11228230013512,22.140725100180134,22.140725100180134,,22.611918000038713,1,0.47929239994846284,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
cushion,,,,0,3,3,3,,,,,22.64050199999474,,22.61216100002639,22.64050199999474,22.64050199999474,,22.678540100110695,1,0.04473549989052117,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
guitar,,,,0,4,4,8,,,,,22.707187100080773,,22.678879200015217,22.707187100080773,22.707187100080773,,22.762212900212035,1,0.06106669991277158,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
cable,,,,0,5,5,10,,,,,22.790341300191358,,22.76243060012348,22.790341300191358,22.790341300191358,,23.012116600060835,1,0.228360699955374,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
poetry,,,,0,6,6,12,,,,,23.04020500020124,,23.012336099985987,23.04020500020124,23.04020500020124,,23.07881289999932,1,0.044739400036633015,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
vase,,,,0,7,7,0,,,,,23.107083200011402,,23.07903440017253,23.107083200011402,23.107083200011402,,23.161763100186363,1,0.061616200022399426,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
love,,,,0,8,8,9,,,,,23.190480600111187,,23.16198100009933,23.190480600111187,23.190480600111187,,23.39531070017256,1,0.21287930011749268,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
lyrics,,,,0,9,9,13,,,,,23.423834200017154,,23.395529800094664,23.423834200017154,23.423834200017154,,23.72860150015913,1,0.3123186999000609,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
keys,,,,0,10,10,5,,,,,23.757129200035706,,23.72882860014215,23.757129200035706,23.757129200035706,,23.81196770002134,1,0.06229359982535243,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
right,,,,0,11,11,14,,,,,23.840422100154683,,23.812191300094128,23.840422100154683,23.840422100154683,,23.8952363000717,1,0.06229760008864105,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
card,,,,0,12,12,7,,,,,23.92361140018329,,23.895454300101846,23.92361140018329,23.92361140018329,,24.06162270018831,1,0.14576310012489557,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
drip,,,,0,13,13,11,,,,,24.09034560015425,,24.06183880008757,24.09034560015425,24.09034560015425,,24.144921200117096,1,0.06292170006781816,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
tiger,,,,0,14,14,1,,,,,24.173640300054103,,24.14514400018379,24.173640300054103,24.173640300054103,,24.395208300091326,1,0.229315800126642,,,,,,,,,,,,,,,PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,k_y_,keys,old,,,,,0,0,0,5,24.423641300061718,,,,,,,,,24.400414400035515,24.423641300061718,24.423641300061718,24.423641300061718,0.007386400131508708,34.40803700010292,,[],[],[],[],[],[],[],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,oo,book,old,,,,,0,1,1,2,34.42305970005691,,,,,,,,,34.408682600129396,34.42305970005691,34.42305970005691,34.42305970005691,0.01488290005363524,40.591857800027356,"BOOK
",[-0.08],[-0.31666666666666665],[1],[0],[0],[6.18119759997353],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,_abl_,cable,old,,,,,0,2,2,10,40.60540550015867,,,,,,,,,40.59229620010592,40.60540550015867,40.60540550015867,40.60540550015867,0.002083699917420745,44.04119350016117,cable,[-0.08],[-0.31666666666666665],[1],[0],[0],[3.446430599782616],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,lyr___,lyrics,old,,,,,0,3,3,13,44.05505800014362,,,,,,,,,44.04162750020623,44.05505800014362,44.05505800014362,44.05505800014362,0.0016461999621242285,46.824177800212055,lyrics,[-0.08],[-0.31666666666666665],[1],[0],[0],[2.7805075000505894],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,g_i_ar,guitar,old,,,,,0,4,4,8,46.83798740012571,,,,,,,,,46.82461340003647,46.83798740012571,46.83798740012571,46.83798740012571,0.001810800051316619,50.02366420021281,guitar,[-0.08],[-0.31666666666666665],[1],[0],[0],[3.1968651001807302],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,dr__,draw,new,,,,,0,5,5,17,50.03765800013207,,,,,,,,,50.024098300142214,50.03765800013207,50.03765800013207,50.03765800013207,0.0016585998237133026,52.82307890010998,drip,[-0.08],[-0.31666666666666665],[1],[0],[0],[2.7968806999269873],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,dr__,drip,old,,,,,0,6,6,11,52.8371445001103,,,,,,,,,52.82351360004395,52.8371445001103,52.8371445001103,52.8371445001103,0.00046060001477599144,53.40666830004193,,[-0.08],[-0.31666666666666665],[1],[0],[0],[0.5823705000802875],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,po___ry,poetry,old,,,,,0,7,7,12,53.420410400023684,,,,,,,,,53.40710459998809,53.420410400023684,53.420410400023684,53.420410400023684,0.0016836000140756369,56.75638100015931,poetry,[-0.08],[-0.31666666666666665],[1],[0],[0],[3.3472024998627603],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,c_s_h_o_n,cushion,old,,,,,0,8,8,3,56.77027780003846,,,,,,,,,56.756824700161815,56.77027780003846,56.77027780003846,56.77027780003846,0.001727700000628829,59.48923900001682,cushion,[-0.08],[-0.31666666666666665],[1],[0],[0],[2.73029169999063],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,ov,love,old,,,,,0,9,9,9,59.50300320005044,,,,,,,,,59.489674100186676,59.50300320005044,59.50300320005044,59.50300320005044,0.001543399877846241,62.23896730015986,love,[-0.08],[-0.31666666666666665],[1],[0],[0],[2.747325799893588],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,_a_e,vase,old,,,,,0,10,10,0,62.252680600155145,,,,,,,,,62.239401700207964,62.252680600155145,62.252680600155145,62.252680600155145,0.001687200041487813,66.70596130006015,rape,[-0.08],[-0.31666666666666665],[1],[0],[0],[4.464484200114384],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,oo,room,new,,,,,0,11,11,19,66.71927810017951,,,,,,,,,66.70640810020268,66.71927810017951,66.71927810017951,66.71927810017951,0.00169189996086061,70.58877929998562,look,[-0.08],[-0.31666666666666665],[1],[0],[0],[3.8802106000948697],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,r__ht,right,old,,,,,0,12,12,14,70.60172780021094,,,,,,,,,70.58926700009033,70.60172780021094,70.60172780021094,70.60172780021094,0.0017214000690728426,75.97044140007347,right,[-0.08],[-0.31666666666666665],[1],[0],[0],[5.37911199987866],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,t_g_r,tiger,old,,,,,0,13,13,1,75.98444400005974,,,,,,,,,75.97087090020068,75.98444400005974,75.98444400005974,75.98444400005974,0.001740999985486269,82.46955869998783,tiger,[-0.08],[-0.31666666666666665],[1],[0],[0],[6.496548300143331],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,r__e,ride,new,,,,,0,14,14,18,82.48333220020868,,,,,,,,,82.47000050009228,82.48333220020868,82.48333220020868,82.48333220020868,0.0015579001046717167,86.11910860007629,rope,[-0.08],[-0.31666666666666665],[1],[0],[0],[3.6471186000853777],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,r__ch,reach,new,,,,,0,15,15,16,86.13285710010678,,,,,,,,,86.11955010006204,86.13285710010678,86.13285710010678,86.13285710010678,0.0017063000705093145,92.66810430004261,rooch,[-0.08],[-0.31666666666666665],[1],[0],[0],[6.546421499922872],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,_ru_s,drums,old,,,,,0,16,16,6,92.68217790010385,,,,,,,,,92.668542600004,92.68217790010385,92.68217790010385,92.68217790010385,0.0016491999849677086,99.68391810008325,drums,[-0.08],[-0.31666666666666665],[1],[0],[0],[7.013342899968848],['text_3'],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
,ia_n,piano,old,,,,,0,17,17,4,99.69797249999829,,,,,,,,,99.68435640004463,99.69797249999829,99.69797249999829,99.69797249999829,0.00174140022136271,109.69856280018575,,[],[],[],[],[],[],[],PAR_FINAL4,001,2024-11-07_15h26.16.837,Word Priming,2024.1.5,None,2024-11-07 15h26.27.746069 +0530,
